playlist_id	owner_id	x_owner_group	streams	stream30s	dau	wau	mau	mau_previous_month	mau_both_months	users	skippers	owner_country	n_tracks	n_local_tracks	n_artists	n_albums	monthly_stream30s	monthly_owner_stream30s	genre_1	genre_2	genre_3	mood_1	mood_2	mood_3	tokens	x_estimated_revenue_usd	x_ratio_streams_above_30s_threshold	x_retention_rate_m	x_ratio_skippers_d	x_projected_engaging_time_in_min	x_projected_engaging_time_in_hour	x_projected_engaging_time_in_day	x_mininum_engaing_time_per_user	x_playlist_type_by_artist	x_playlist_type_by_album	x_playlist_type_by_artist_by_album
7pY62wjrNDRPjbWfjJpQ9A	5ccffa50978387bb63f3c4754ad7fe53	non-spotify	42452	30660	4421	20841	63418	111299	30822	155004	1429	US	12	0	12	12	1182905	0	rock	r&b	punk	upbeat	lively	urgent	soundtrack	214.620	0.7222	0.2769	0.0092	42.00	0.70	0.03	0.10	various_artist	various_album	various_artist_various_album
5xtPbr795elinw40DsMnTY	spotify	spotify	46477	29942	3328	17261	58686	51903	9243	148943	2503	US	246	0	1	1	907444	3	indie rock	alternative	rock	excited	yearning	urgent	indie, workout	209.594	0.6442	0.1781	0.0168	861.00	14.35	0.60	0.10	single_artist	single_album	single_artist_single_album
0lBxkSj5VzRfcy8gxFUB5E	spotify	spotify	33638	29803	2247	14915	52245	45922	8342	117234	1202	US	69	0	52	64	1082112	1	indie rock	alternative	rock	peaceful	melancholy	somber	peaceful, indie, ambient	208.621	0.8860	0.1817	0.0103	241.50	4.03	0.17	0.13	various_artist	various_album	various_artist_various_album
65y98W0UItf73DJKVgylTP	spotify	spotify	38758	29794	2828	21053	55762	32669	7096	105778	1302	US	52	0	41	48	1123464	0	electronica	rap	dance & house	sensual	energizing	melancholy	esm, electronic, study, music	208.558	0.7687	0.2172	0.0123	182.00	3.03	0.13	0.14	various_artist	various_album	various_artist_various_album
2qlMTcW6AnnaGl7eXWAZP5	spotify	spotify	65635	28616	3988	14506	63859	57536	9041	149173	3152	US	96	0	94	90	715891	0	rap	r&b	pop	defiant	cool	energizing	party	200.312	0.4360	0.1571	0.0211	336.00	5.60	0.23	0.10	various_artist	various_album	various_artist_various_album
7JNPDieyce4ZZTBYlTGa6f	spotify	spotify	53712	27407	3648	31180	135404	161146	24972	384247	3019	US	50	0	48	50	1573129	1	pop	r&b	dance & house	excited	energizing	defiant	workout	191.849	0.5103	0.1550	0.0079	175.00	2.92	0.12	0.04	various_artist	various_album	various_artist_various_album
3C64V048fGyQfCjmu9TIGA	e60d19313a8df36c7e6cf59e259e0d66	non-spotify	69926	26619	3351	16057	49660	43561	6298	103043	2359	US	218	0	178	199	693128	0	pop	alternative	rock	energizing	excited	defiant	smash	186.333	0.3807	0.1446	0.0229	763.00	12.72	0.53	0.13	various_artist	various_album	various_artist_various_album
2KhnhTzEbZYCSz0ljMgQSn	spotify	spotify	31536	26595	2741	9682	35451	31575	2966	93686	1904	US	212	0	189	206	509537	1	indie rock	rock	alternative	melancholy	yearning	gritty	lazy, weekend	186.165	0.8433	0.0939	0.0203	742.00	12.37	0.52	0.14	various_artist	various_album	various_artist_various_album
3J3mTk0N0NzDOFgnp67Z75	spotify	spotify	39625	26529	3049	20632	73486	67675	8857	173314	2054	US	398	0	98	76	1042614	1	classical	other	jazz	serious	tender	stirring	classical, essentials	185.703	0.6695	0.1309	0.0119	1393.00	23.22	0.97	0.08	various_artist	various_album	various_artist_various_album
69H6RgTVs1jrv1IuuLe1a5	spotify	spotify	34672	26260	2420	13093	36533	26670	5284	78201	1574	US	66	0	57	61	667222	0	indie rock	alternative	electronica	brooding	sensual	melancholy	deep, dark, indie	183.820	0.7574	0.1981	0.0201	231.00	3.85	0.16	0.17	various_artist	various_album	various_artist_various_album
